tretspef,op_only_split,mixed_split,avg_op_first_activity_per_pathway_op_only,avg_op_first_activity_per_pathway_mixed,avg_ip_activity_per_pathway_mixed
100,0.519,0.481,0.6,0.44,0.84
101,0.664,0.336,1.13,0.61,1.52
110,0.785,0.215,1.35,0.9,1.58
120,0.861,0.139,1.11,0.77,1.13
130,0.733,0.267,1.34,0.74,1.42
140,0.724,0.276,0.78,0.6,0.98
150,0.744,0.256,1.22,0.73,1.45
160,0.602,0.398,1.32,1.02,1.6
170,0.604,0.396,0.41,0.42,0.44
300,0.703,0.297,1.74,0.44,3.37
301,0.36,0.64,1.49,0.41,2
320,0.865,0.135,1.8,0.91,2.04
330,0.879,0.121,1.1,0.78,1.06
340,0.847,0.153,1.41,0.73,1.65
400,0.852,0.148,1.48,0.26,1.55
410,0.749,0.251,1.62,0.2,1.43
430,0.926,0.074,1.37,0.45,1.87
502,0.842,0.158,1.22,0.88,1.53
Other,0.814,0.186,1.67,0.7,3.24
Other (Medical),0.814,0.186,1.67,0.7,3.24
Other (Surgical),0.814,0.186,1.67,0.7,3.24
